landscape_id;landscape;year;age_enclos;habitat;site_id;season;season_site_id;bird_rich;dec_long;dec_lat;tot_strata;plant_rich_tot;Shannon_vertical;herb_cov;herb_height;max.NDVI.50;max.NDVI.500;nb_houses;diff.max.NDVI.500
51C_10;51C;2010;13;enclos;51C_10_enclos;dry;dry_51C_10_enclos;24;-1.278624;12.672486;32;9;1.279405916;0;0;0.356;0.194;12;0.19
51C_10;51C;2010;13;open;51C_10_open;dry;dry_51C_10_open;19;-1.276226;12.671048;6;2;0.450561209;0;0;0.181;0.194;12;0.19
51C_10;51C;2010;13;woody;51C_10_woody;dry;dry_51C_10_woody;18;-1.276329;12.672831;13;6;1.220282166;10;10;0.223;0.194;12;0.19
52C_10;52C;2010;13;enclos;52C_10_enclos;dry;dry_52C_10_enclos;28;-1.257614;12.678515;30;9;1.133869278;20;30;0.285;0.197;22;0.235
52C_10;52C;2010;13;open;52C_10_open;dry;dry_52C_10_open;23;-1.256282;12.674892;16;3;0.376770161;0;0;0.161;0.197;22;0.235
52C_10;52C;2010;13;woody;52C_10_woody;dry;dry_52C_10_woody;28;-1.258412;12.676267;19;9;1.314775738;30;30;0.235;0.197;22;0.235
53C_10;53C;2010;13;enclos;53C_10_enclos;dry;dry_53C_10_enclos;27;-1.269291;12.683528;21;7;1.291209434;60;30;0.286;0.227;0;0.284
53C_10;53C;2010;13;open;53C_10_open;dry;dry_53C_10_open;33;-1.267647;12.681565;7;2;0.598269589;10;20;0.228;0.227;0;0.284
53C_10;53C;2010;13;woody;53C_10_woody;dry;dry_53C_10_woody;22;-1.269006;12.689006;36;6;0.797247823;10;10;0.19;0.227;0;0.284
54C_10;54C;2010;13;enclos;54C_10_enclos;dry;dry_54C_10_enclos;29;-1.27765;12.691397;9;6;1.310783678;20;10;0.27;0.172;41;0.244
54C_10;54C;2010;13;open;54C_10_open;dry;dry_54C_10_open;18;-1.27719;12.695294;2;2;0.693147181;0;0;0.088;0.172;41;0.244
54C_10;54C;2010;13;woody;54C_10_woody;dry;dry_54C_10_woody;19;-1.275575;12.691729;19;7;1.010209947;30;40;0.272;0.172;41;0.244
